Subject,LOCATION,Country,Interest-Rate,Year,Month
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.81,2022,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.25,2022,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.12,2000,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.26,2000,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.51,2000,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.82,2000,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.24,2000,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2000,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.51,2000,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2001,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2001,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.35,2001,3
