Date,Open,High,Low,Close
31/10/2001,23.2,23.25,20.05,20.37
28/09/2001,26.5,31.05,20.7,23.26
31/08/2001,25.09,26.79,24.5,26.41
31/07/2001,26.3,26.9,23.97,24.69
29/06/2001,29.27,30,24.91,26.08
31/05/2001,27.62,29.68,27.01,29.34
30/04/2001,24.85,28.48,24.1,27.89
30/03/2001,25.7,27.25,23.75,24.74
28/02/2001,26.55,30.36,25.5,25.57
31/01/2001,24.4,27.48,24.12,26.66
29/12/2000,31.88,32.32,22.9,23.87
30/11/2000,31.1,34,30.32,31.88
31/10/2000,30.2,35.3,29.42,30.76
29/09/2000,31.65,34.98,29.25,29.84
31/08/2000,26.8,32.8,26.73,31.72
31/07/2000,30.65,31.25,26.65,26.93
30/06/2000,28.4,31.7,27.58,30.57
31/05/2000,24.1,29.52,24.05,28.31
28/04/2000,25,25.22,21.3,23.89
31/03/2000,28,31.95,24.25,24.77
29/02/2000,26.1,28.78,25.73,28.09
31/01/2000,23.9,27.11,23.04,25.97
31/12/1999,24.25,26.15,23.2,25.08
30/11/1999,21.85,25.9,21.74,23.64
29/10/1999,23.72,23.85,20.2,21.69
30/09/1999,21.2,24.3,20.74,23.58
31/08/1999,19.28,21.42,19.2,21.33
30/07/1999,17.55,19.95,17.42,19.37
30/06/1999,14.95,17.52,14.53,17.51
31/05/1999,16.7,17.09,14.91,15.2
30/04/1999,14.7,16.68,14,16.57
31/03/1999,10.93,15.28,10.63,15.24
26/02/1999,11.41,11.45,9.9,10.88
29/01/1999,10.93,12.33,10.42,11.35
31/12/1998,10.44,11.3,9.55,10.53
30/11/1998,13.32,13.45,10.08,10.46
30/10/1998,14.68,14.9,12.22,13.22
30/09/1998,12.3,14.9,12.19,14.68
31/08/1998,13.06,13.06,11.55,12.56
31/07/1998,13.42,13.7,12.25,13.09
30/06/1998,15,14.76,12.15,13.38
29/05/1998,14.56,15.29,13.65,14.37
30/04/1998,14.2,14.95,13.32,14.46
31/03/1998,14.3,15.82,11.9,14.26
27/02/1998,15.95,15.95,13.73,14.17
30/01/1998,16.8,16.8,14.7,15.96
31/12/1997,18.44,18.48,16.5,16.52
